Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","80","Bosnie-Herzégovine","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","596","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","80","Bosnie-Herzégovine","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","35.47","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","80","Bosnie-Herzégovine","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","40.82","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","20","Botswana","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2570","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","20","Botswana","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","72.18","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","20","Botswana","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","68.18","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","20","Botswana","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","356","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","20","Botswana","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","27.09","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","20","Botswana","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","19.49","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","21","Brésil","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3246","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","21","Brésil","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","93.81","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","21","Brésil","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","131.41","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","21","Brésil","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","875","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","21","Brésil","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","54.86","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","21","Brésil","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","62.76","Fc","Donnée calculée"
